fuel_subcategory,fuel_pathway,metric_type,metric,energy_source,grid_scenario,vehicle_class,fuel_scenario,lcod_case,units,dollar_year,value,notes,notes_display,fuels_references,reference_url
End-Use Hydrogen,Liquefaction-Trucks,Price,H2 Delivery Cost,All,Default,All,"Current Modeled, Current Volume",High,$/kg,2022,11,2023 current status high range of delivery and dispensing in 2024 HFTO MYPP; based on Bracci et al. 2024 as modeled for 2-8 tpd stations at 30-50% utilization,2023 current status high range of delivery and dispensing in 2024 HFTO MYPP; based on Bracci et al. 2024,"DOE-HFTO, 2024; Bracci et al. 2024",https://www.energy.gov/sites/default/files/2024-05/hfto-mypp-introduction-program-implementation.pdf
End-Use Hydrogen,Liquefaction-Trucks,Price,H2 Delivery Cost,All,Default,All,"Current Modeled, Current Volume",Low,$/kg,2022,7,2023 current status low range of delivery and dispensing in 2024 HFTO MYPP; based on Bracci et al. 2024 as modeled for 2-8 tpd stations at 30-50% utilization,2023 current status low range of delivery and dispensing in 2024 HFTO MYPP; based on Bracci et al. 2024,"DOE-HFTO, 2024; Bracci et al. 2024",https://www.energy.gov/sites/default/files/2024-05/hfto-mypp-introduction-program-implementation.pdf
End-Use Hydrogen,Liquefaction-Trucks,Price,H2 Delivery Cost,All,Future National,All,"Future Modeled, High Volume",High,$/kg,2022,5,"LH2 Delivery from Bracci et al 2024, with 18 MTPD and 80% utilization with 100 km round-trip delivery","LH2 Delivery from Bracci et al 2024, with 18 MTPD and 80% utilization with 100 km round-trip delivery",Bracci et al 2024,https://www.nrel.gov/docs/fy24osti/88818.pdf
End-Use Hydrogen,Liquefaction-Trucks,Price,H2 Delivery Cost,All,Future National,All,"Future Modeled, High Volume",Low,$/kg,2022,3,DOE Target,DOE Target for 2029-2036 in HFTO 2024 MYPP,"DOE-HFTO, 2024",https://www.energy.gov/sites/default/files/2024-05/hfto-mypp-introduction-program-implementation.pdf
End-Use Hydrogen,Low temperature electrolysis,Price,H2 Production Cost,Dedicated RE,Default,All,"Current Modeled, Current Volume",High,$/kg,2022,7,High range of modeled current PEM costs with clean electricity from 2024 DOE Hydrogen Program Record in the  $2000/kw electrolyzer scenario,High range of modeled current PEM costs with clean electricity from 2024 DOE Hydrogen Program Record,"Hubert et al., 2024",https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/24005-clean-hydrogen-production-cost-pem-electrolyzer.pdf?sfvrsn=8cb10889_1
End-Use Hydrogen,Low temperature electrolysis,Price,H2 Production Cost,Dedicated RE,Default,All,"Current Modeled, Current Volume",Low,$/kg,2022,5,Low range of modeled current PEM costs with clean electricity from 2024 DOE Hydrogen Program Record in the  $2000/kw electrolyzer scenario,Low range of modeled current PEM costs with clean electricity from 2024 DOE Hydrogen Program Record,"Hubert et al., 2024",https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/24005-clean-hydrogen-production-cost-pem-electrolyzer.pdf?sfvrsn=8cb10889_1
End-Use Hydrogen,Low temperature electrolysis,Price,H2 Production Cost,Dedicated RE,Future National,All,"Future Modeled, High Volume",High,$/kg,2022,2,High range of future electrolysis costs in 2023 Pathways to Commercial Liftoff Clean Hydrogen report,High range of future electrolysis costs in 2023 Pathways to Commercial Liftoff Clean Hydrogen report,DOE 2023,https://liftoff.energy.gov/wp-content/uploads/2023/05/20230523-Pathways-to-Commercial-Liftoff-Clean-Hydrogen.pdf
End-Use Hydrogen,Low temperature electrolysis,Price,H2 Production Cost,Dedicated RE,Future National,All,"Future Modeled, High Volume",Low,$/kg,2022,1,DOE Target,DOE Target for 2029-2036 in HFTO 2024 MYPP,"DOE-HFTO, 2024",https://www.energy.gov/sites/default/files/2024-05/hfto-mypp-introduction-program-implementation.pdf
End-Use Hydrogen,Steam Methane Reforming,Price,H2 Production Cost,Grid,Default,All,"Current Modeled, Current Volume",High,$/kg,2022,1.2,2024 H2A-Lite,2024 H2A-Lite,NREL 2024,https://www.nrel.gov/hydrogen/h2a-lite.html
End-Use Hydrogen,Steam Methane Reforming,Price,H2 Production Cost,Grid,Default,All,"Current Modeled, Current Volume",Low,$/kg,2022,1.2,2024 H2A-Lite,2024 H2A-Lite,NREL 2024,https://www.nrel.gov/hydrogen/h2a-lite.html
End-Use Hydrogen,Steam Methane Reforming,Price,H2 Production Cost,Grid,Future National,All,"Future Modeled, High Volume",High,$/kg,2022,1.2,2024 H2A-Lite,2024 H2A-Lite,NREL 2024,https://www.nrel.gov/hydrogen/h2a-lite.html
End-Use Hydrogen,Steam Methane Reforming,Price,H2 Production Cost,Grid,Future National,All,"Future Modeled, High Volume",Low,$/kg,2022,1.2,DOE Target,DOE Target for 2029-2036 in HFTO 2024 MYPP,"DOE-HFTO, 2024",https://www.energy.gov/sites/default/files/2024-05/hfto-mypp-introduction-program-implementation.pdf
End-Use Hydrogen,Steam Methane Reforming with CCS,Price,H2 Production Cost,Grid,Default,All,"Current Modeled, Current Volume",High,$/kg,2022,2.4,2024 H2A-Lite,2024 H2A-Lite,NREL 2024,https://www.nrel.gov/hydrogen/h2a-lite.html
End-Use Hydrogen,Steam Methane Reforming with CCS,Price,H2 Production Cost,Grid,Default,All,"Current Modeled, Current Volume",Low,$/kg,2022,2.4,2024 H2A-Lite,2024 H2A-Lite,NREL 2024,https://www.nrel.gov/hydrogen/h2a-lite.html
End-Use Hydrogen,Steam Methane Reforming with CCS,Price,H2 Production Cost,Grid,Future National,All,"Future Modeled, High Volume",High,$/kg,2022,2.5,2024 H2A-Lite,2024 H2A-Lite,NREL 2024,https://www.nrel.gov/hydrogen/h2a-lite.html
End-Use Hydrogen,Steam Methane Reforming with CCS,Price,H2 Production Cost,Grid,Future National,All,"Future Modeled, High Volume",Low,$/kg,2022,1,DOE Target,DOE Target for 2029-2036 in HFTO 2024 MYPP,"DOE-HFTO, 2024",https://www.energy.gov/sites/default/files/2024-05/hfto-mypp-introduction-program-implementation.pdf
