variable,unit,category,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
electricity_price_wholesale,$/MWh (real 2024 USD),commodity_prices,,,,,,,,,,,,,,,,,,,,,,,,,
electricity_demand_total,TWh,electricity,,,,,,,,,,,,,,,,,,,,,,,,,
peak_demand,GW,electricity,,,,,,,,,,,,,,,,,,,,,,,,,
ercot_peak_demand,GW,regional_ercot,93.140256,107.753329,129.747711,142.136132,149.904732,164.0959,178.287,192.4781,206.6692,220.8603,235.0514,249.2426,263.4337,277.6248,291.8159,306.007,320.1982,334.3893,348.5804,362.7715,376.9626,391.1538,405.3449,419.536,433.7271
ercot_energy_demand,TWh,regional_ercot,,,,,,,,,,,,,,,,,,,,,,,,,
ercot_installed_capacity,GW,regional_ercot,106.178712,109.079582,116.315691,117.312057,117.600057,120.6424,123.7635,126.9653,130.25,133.6196,137.0764,140.6226,144.2606,147.9927,151.8213,155.749,159.7783,163.9118,168.1523,172.5025,176.9652,181.5434,186.24,191.0581,196.0008
ercot_reserve_margin,fraction (0-1),regional_ercot,0.128134,-0.001151,-0.145508,-0.222754,-0.261112,-0.261112,-0.261112,-0.261112,-0.261112,-0.261112,-0.261112,-0.261112,-0.261112,-0.261112,-0.261112,-0.261112,-0.261112,-0.261112,-0.261112,-0.261112,-0.261112,-0.261112,-0.261112,-0.261112,-0.261112
ercot_wholesale_price,$/MWh (real 2024 USD),regional_ercot,,,,,,,,,,,,,,,,,,,,,,,,,
ercot_generation_mix,fraction (0-1),regional_ercot,0.7855,0.8155,0.8124,0.8528,0.8979,0.9313,0.9671,1.0055,1.0466,1.0907,1.1379,1.1885,1.2426,1.3006,1.3626,1.4289,1.5,1.5759,1.6572,1.7441,1.8371,1.9365,2.0428,2.1564,2.2779
ercot_solar_capacity,GW,regional_ercot,42.4725,47.1516,51.8307,56.5099,61.189,67.037,73.444,80.4632,88.1534,96.5785,105.8088,115.9212,127.0002,139.138,152.4359,167.0047,182.9658,200.4524,219.6103,240.5992,263.594,288.7865,316.3867,346.6248,379.7528
ercot_wind_capacity,GW,regional_ercot,40.93,41.7984,42.6667,43.535,44.4034,45.3169,46.2491,47.2006,48.1716,49.1625,50.1739,51.2061,52.2595,53.3346,54.4318,55.5515,56.6943,57.8606,59.051,60.2657,61.5055,62.7708,64.0621,65.38,66.725
ercot_battery_capacity,GW,regional_ercot,21.4941,23.522,25.5499,27.5778,29.6057,32.073,34.7459,37.6415,40.7785,44.1769,47.8585,51.847,56.1678,60.8487,65.9197,71.4134,77.3648,83.8123,90.797,98.3639,106.5613,115.4419,125.0627,135.4851,146.7762
ercot_ng_capacity,GW,regional_ercot,67.1346,67.6038,68.0731,68.5423,69.0116,69.489,69.9697,70.4537,70.9411,71.4318,71.926,72.4235,72.9245,73.429,73.9369,74.4484,74.9634,75.4819,76.0041,76.5299,77.0593,77.5923,78.1291,78.6695,79.2137
