variable,unit,category,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
electricity_price_wholesale,$/MWh (real 2024 USD),commodity_prices,,,,,,,,,,,,,,,,,,,,,,,,,
electricity_demand_total,TWh,electricity,,,,,,,,,,,,,,,,,,,,,,,,,
peak_demand,GW,electricity,,,,,,,,,,,,,,,,,,,,,,,,,
ercot_peak_demand,GW,regional_ercot,89.666535,98.768963,115.919463,122.949621,133.054778,143.9018,154.7489,165.596,176.443,187.2901,198.1371,208.9842,219.8313,230.6783,241.5254,252.3724,263.2195,274.0666,284.9136,295.7607,306.6078,317.4548,328.3019,339.1489,349.996
ercot_energy_demand,TWh,regional_ercot,,,,,,,,,,,,,,,,,,,,,,,,,
ercot_installed_capacity,GW,regional_ercot,105.074712,107.975582,113.245691,114.242057,114.530057,117.024,119.5722,122.1759,124.8363,127.5546,130.3321,133.1701,136.0699,139.0328,142.0603,145.1537,148.3144,151.5439,154.8438,158.2156,161.6607,165.1809,168.7777,172.4529,176.2081
ercot_reserve_margin,fraction (0-1),regional_ercot,0.171839,0.093214,-0.023066,-0.070822,-0.139226,-0.139226,-0.139226,-0.139226,-0.139226,-0.139226,-0.139226,-0.139226,-0.139226,-0.139226,-0.139226,-0.139226,-0.139226,-0.139226,-0.139226,-0.139226,-0.139226,-0.139226,-0.139226,-0.139226,-0.139226
ercot_wholesale_price,$/MWh (real 2024 USD),regional_ercot,,,,,,,,,,,,,,,,,,,,,,,,,
ercot_generation_mix,fraction (0-1),regional_ercot,0.7937,0.8238,0.8344,0.8757,0.922,0.9601,1.001,1.0449,1.092,1.1426,1.1968,1.255,1.3174,1.3844,1.4562,1.5332,1.6159,1.7045,1.7996,1.9016,2.011,2.1283,2.2541,2.3891,2.5338
ercot_solar_capacity,GW,regional_ercot,42.4725,47.1516,51.8307,56.5099,61.189,67.037,73.444,80.4632,88.1534,96.5785,105.8088,115.9212,127.0002,139.138,152.4359,167.0047,182.9658,200.4524,219.6103,240.5992,263.594,288.7865,316.3867,346.6248,379.7528
ercot_wind_capacity,GW,regional_ercot,40.93,41.7984,42.6667,43.535,44.4034,45.3169,46.2491,47.2006,48.1716,49.1625,50.1739,51.2061,52.2595,53.3346,54.4318,55.5515,56.6943,57.8606,59.051,60.2657,61.5055,62.7708,64.0621,65.38,66.725
ercot_battery_capacity,GW,regional_ercot,21.4941,23.522,25.5499,27.5778,29.6057,32.073,34.7459,37.6415,40.7785,44.1769,47.8585,51.847,56.1678,60.8487,65.9197,71.4134,77.3648,83.8123,90.797,98.3639,106.5613,115.4419,125.0627,135.4851,146.7762
ercot_ng_capacity,GW,regional_ercot,67.1346,67.6038,68.0731,68.5423,69.0116,69.489,69.9697,70.4537,70.9411,71.4318,71.926,72.4235,72.9245,73.429,73.9369,74.4484,74.9634,75.4819,76.0041,76.5299,77.0593,77.5923,78.1291,78.6695,79.2137
