region,category,level,parent,display_name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
advanced_economies,battery_storage,2,power,Battery storage,0.40,0.90,1.50,2.50,2.30,3.80,7.50,16.30,27.90,34.70,44.40
advanced_economies,clean_energy,1,total,of which: Clean energy,571.80,574.60,586.30,606.00,627.10,662.40,741.50,829.00,934.70,992.50,1065.80
advanced_economies,clean_fuels,2,fuels,Clean Fuels,2.80,3.00,3.40,3.30,3.40,3.70,4.10,5.90,8.70,11.00,13.80
advanced_economies,direct_air_capture,2,fuels,Direct Air Capture,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.20,0.60
advanced_economies,efficiency_buildings,3,energy_efficiency,Efficiency: Buildings,130.90,136.20,145.40,147.40,152.20,153.00,162.50,172.10,181.00,182.70,179.40
advanced_economies,efficiency_industry,3,energy_efficiency,Efficiency: Industry,7.60,7.50,7.10,6.80,8.30,9.10,10.40,11.20,11.90,10.40,12.00
advanced_economies,efficiency_transport,3,energy_efficiency,Efficiency: Transport,7.50,12.30,12.00,14.30,13.70,13.00,14.60,15.80,18.50,20.80,19.60
advanced_economies,electricity_networks,2,power,Electricity networks,139.70,140.50,144.10,147.40,151.70,159.00,171.50,177.00,200.40,221.40,236.10
advanced_economies,end_use,1,,End-use,208.40,225.40,247.80,256.50,272.00,290.20,323.00,354.50,392.80,399.50,410.70
advanced_economies,energy_efficiency,2,end_use,Energy efficiency,146.00,156.00,164.40,168.50,174.20,175.10,187.60,199.00,211.30,213.90,211.00
advanced_economies,fossil_coal,3,fossil_fuels,Coal,14.60,12.30,17.70,16.80,17.80,14.20,13.60,13.90,14.70,14.00,13.30
advanced_economies,fossil_fuels,2,fuels,Fossil fuels,550.80,402.30,425.70,441.50,404.10,290.80,319.20,373.20,391.70,376.90,342.80
advanced_economies,fossil_gas,3,fossil_fuels,Gas,197.80,150.80,140.30,136.40,121.80,102.20,108.90,124.60,132.70,131.70,132.60
advanced_economies,fossil_oil,3,fossil_fuels,Oil,338.40,239.20,267.70,288.30,264.50,174.40,196.70,234.70,244.40,231.20,196.80
advanced_economies,fuels,1,,Fuels,553.70,405.30,429.10,444.80,407.40,294.60,323.30,379.20,400.70,388.10,357.20
advanced_economies,gen_coal_unabated,3,generation,Coal (unabated),14.40,12.10,10.50,10.70,10.30,8.70,6.90,4.60,2.70,1.90,1.60
advanced_economies,gen_fossil_ccus,3,generation,Fossil fuels with CCUS,0.90,0.60,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.30,4.70
advanced_economies,gen_nuclear,3,generation,Nuclear,21.80,20.20,16.90,15.80,16.30,19.20,28.30,33.00,30.10,29.10,27.70
advanced_economies,gen_oil_gas_unabated,3,generation,Oil & natural gas (unabated),40.40,40.00,34.30,26.70,21.30,20.50,20.40,23.50,26.50,27.50,21.10
advanced_economies,gen_other_clean,3,generation,Other clean power,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.40
advanced_economies,gen_other_clean_ammonia,4,gen_other_clean,Ammonia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
advanced_economies,gen_other_clean_heat_pumps,4,gen_other_clean,Large scale heat pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.40
advanced_economies,gen_other_clean_hydrogen,4,gen_other_clean,Hydrogen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
advanced_economies,gen_renewables,3,generation,Renewables,197.10,183.30,171.80,179.90,180.70,185.50,205.90,240.40,273.30,293.40,320.30
advanced_economies,gen_renewables_other,4,gen_renewables,Other renewables,33.60,30.70,29.40,26.90,24.40,22.50,22.20,25.70,30.60,36.20,40.80
advanced_economies,gen_renewables_solar,4,gen_renewables,Solar,84.80,82.00,75.90,93.20,103.20,107.40,124.10,152.40,178.60,175.50,171.10
