scenario,variable,unit,category,geography,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
cps,capacity_battery_storage,GW,electricity,world,166.3,279.711818,393.123636,506.535455,619.947273,733.359091,846.770909,960.182727,1073.594545,1187.006364,1300.418182,1413.83,1517.862,1621.894,1725.926,1829.958,1933.99,2016.63,2099.27,2181.91,2264.55,2347.19,2429.83,2512.47,2595.11,2677.75,2760.39
cps,capacity_coal,GW,electricity,world,2259.04,2285.459091,2311.878182,2338.297273,2364.716364,2391.135455,2417.554545,2443.973636,2470.392727,2496.811818,2523.230909,2549.65,2529.878,2510.106,2490.334,2470.562,2450.79,2417.254,2383.718,2350.182,2316.646,2283.11,2249.574,2216.038,2182.502,2148.966,2115.43
cps,capacity_natural_gas,GW,electricity,world,2048.51,2094.54,2140.57,2186.6,2232.63,2278.66,2324.69,2370.72,2416.75,2462.78,2508.81,2554.84,2587.908,2620.976,2654.044,2687.112,2720.18,2759.191,2798.202,2837.213,2876.224,2915.235,2954.246,2993.257,3032.268,3071.279,3110.29
cps,capacity_nuclear,GW,electricity,world,420.01,432.983636,445.957273,458.930909,471.904545,484.878182,497.851818,510.825455,523.799091,536.772727,549.746364,562.72,577.74,592.76,607.78,622.8,637.82,646.878,655.936,664.994,674.052,683.11,692.168,701.226,710.284,719.342,728.4
cps,capacity_solar_pv,GW,electricity,world,2163.51,2700.198182,3236.886364,3773.574545,4310.262727,4846.950909,5383.639091,5920.327273,6457.015455,6993.703636,7530.391818,8067.08,8536.732,9006.384,9476.036,9945.688,10415.34,10754.249,11093.158,11432.067,11770.976,12109.885,12448.794,12787.703,13126.612,13465.521,13804.43
cps,capacity_total,GW,electricity,world,10248.7,11139.233636,12029.767273,12920.300909,13810.834545,14701.368182,15591.901818,16482.435455,17372.969091,18263.502727,19154.036364,20044.57,20773.788,21503.006,22232.224,22961.442,23690.66,24215.715,24740.77,25265.825,25790.88,26315.935,26840.99,27366.045,27891.1,28416.155,28941.21
cps,capacity_wind_onshore,GW,electricity,world,1130.63,1259.878182,1389.126364,1518.374545,1647.622727,1776.870909,1906.119091,2035.367273,2164.615455,2293.863636,2423.111818,2552.36,2640.868,2729.376,2817.884,2906.392,2994.9,3051.529,3108.158,3164.787,3221.416,3278.045,3334.674,3391.303,3447.932,3504.561,3561.19
cps,ccus_capture_dac,Mt CO2/yr,ccus,world,0.01,0.058182,0.106364,0.154545,0.202727,0.250909,0.299091,0.347273,0.395455,0.443636,0.491818,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
cps,ccus_capture_total,Mt CO2/yr,ccus,world,43.43,53.236364,63.042727,72.849091,82.655455,92.461818,102.268182,112.074545,121.880909,131.687273,141.493636,151.3,161.288,171.276,181.264,191.252,201.24,208.186,215.132,222.078,229.024,235.97,242.916,249.862,256.808,263.754,270.7
cps,ccus_stored_geological,Mt CO2/yr,ccus,world,0.98,1.386364,1.792727,2.199091,2.605455,3.011818,3.418182,3.824545,4.230909,4.637273,5.043636,5.45,5.452,5.454,5.456,5.458,5.46,5.962,6.464,6.966,7.468,7.97,8.472,8.974,9.476,9.978,10.48
