variable,unit,category,geography,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
capacity_battery_storage,GW,electricity,world,166.3,413.469091,660.638182,907.807273,1154.976364,1402.145455,1649.314545,1896.483636,2143.652727,2390.821818,2637.990909,2885.16,3132.138,3379.116,3626.094,3873.072,4120.05,4279.623,4439.196,4598.769,4758.342,4917.915,5077.488,5237.061,5396.634,5556.207,5715.78
capacity_coal,GW,electricity,world,2259.04,2166.176364,2073.312727,1980.449091,1887.585455,1794.721818,1701.858182,1608.994545,1516.130909,1423.267273,1330.403636,1237.54,1132.786,1028.032,923.278,818.524,713.77,665.081,616.392,567.703,519.014,470.325,421.636,372.947,324.258,275.569,226.88
capacity_natural_gas,GW,electricity,world,2048.51,2002.821818,1957.133636,1911.445455,1865.757273,1820.069091,1774.380909,1728.692727,1683.004545,1637.316364,1591.628182,1545.94,1479.858,1413.776,1347.694,1281.612,1215.53,1174.774,1134.018,1093.262,1052.506,1011.75,970.994,930.238,889.482,848.726,807.97
capacity_nuclear,GW,electricity,world,420.01,446.770909,473.531818,500.292727,527.053636,553.814545,580.575455,607.336364,634.097273,660.858182,687.619091,714.38,749.836,785.292,820.748,856.204,891.66,910.35,929.04,947.73,966.42,985.11,1003.8,1022.49,1041.18,1059.87,1078.56
capacity_solar_pv,GW,electricity,world,2163.51,3103.056364,4042.602727,4982.149091,5921.695455,6861.241818,7800.788182,8740.334545,9679.880909,10619.427273,11558.973636,12498.52,13568.308,14638.096,15707.884,16777.672,17847.46,18482.833,19118.206,19753.579,20388.952,21024.325,21659.698,22295.071,22930.444,23565.817,24201.19
capacity_total,GW,electricity,world,10248.7,11730.801818,13212.903636,14695.005455,16177.107273,17659.209091,19141.310909,20623.412727,22105.514545,23587.616364,25069.718182,26551.82,28160.642,29769.464,31378.286,32987.108,34595.93,35587.387,36578.844,37570.301,38561.758,39553.215,40544.672,41536.129,42527.586,43519.043,44510.5
capacity_wind_onshore,GW,electricity,world,1130.63,1436.390909,1742.151818,2047.912727,2353.673636,2659.434545,2965.195455,3270.956364,3576.717273,3882.478182,4188.239091,4494.0,4801.108,5108.216,5415.324,5722.432,6029.54,6226.638,6423.736,6620.834,6817.932,7015.03,7212.128,7409.226,7606.324,7803.422,8000.52
ccus_capture_dac,Mt CO2/yr,ccus,world,0.01,16.571818,33.133636,49.695455,66.257273,82.819091,99.380909,115.942727,132.504545,149.066364,165.628182,182.19,220.174,258.158,296.142,334.126,372.11,438.319,504.528,570.737,636.946,703.155,769.364,835.573,901.782,967.991,1034.2
ccus_capture_total,Mt CO2/yr,ccus,world,43.43,244.991818,446.553636,648.115455,849.677273,1051.239091,1252.800909,1454.362727,1655.924545,1857.486364,2059.048182,2260.61,2586.358,2912.106,3237.854,3563.602,3889.35,4105.608,4321.866,4538.124,4754.382,4970.64,5186.898,5403.156,5619.414,5835.672,6051.93
ccus_stored_geological,Mt CO2/yr,ccus,world,0.98,60.633636,120.287273,179.940909,239.594545,299.248182,358.901818,418.555455,478.209091,537.862727,597.516364,657.17,748.904,840.638,932.372,1024.106,1115.84,1213.24,1310.64,1408.04,1505.44,1602.84,1700.24,1797.64,1895.04,1992.44,2089.84
demand_coal,EJ,energy_demand,us,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068,8.2068
demand_electricity_total,TWh,energy_demand,us,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28,4102.28
demand_hydrogen,Mt H2/yr,energy_demand,us,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611,1.611
demand_industrial,EJ,energy_demand,us,15.41,15.41,15.41,15.41,15.41,15.41,15.41,15.41,15.41,15.41,15.41,15.41,15.41,15.41,15.41,15.41,15.41,15.41,15.41,15.41,15.41,15.41,15.41,15.41,15.41,15.41,15.41
demand_natural_gas,EJ,energy_demand,us,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427,35.093427
