variable,unit,category,geography,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
capacity_battery_storage,GW,electricity,world,166.3,301.405455,436.510909,571.616364,706.721818,841.827273,976.932727,1112.038182,1247.143636,1382.249091,1517.354545,1652.46,1787.324,1922.188,2057.052,2191.916,2326.78,2432.105,2537.43,2642.755,2748.08,2853.405,2958.73,3064.055,3169.38,3274.705,3380.03
capacity_coal,GW,electricity,world,2259.04,2277.785455,2296.530909,2315.276364,2334.021818,2352.767273,2371.512727,2390.258182,2409.003636,2427.749091,2446.494545,2465.24,2429.344,2393.448,2357.552,2321.656,2285.76,2231.573,2177.386,2123.199,2069.012,2014.825,1960.638,1906.451,1852.264,1798.077,1743.89
capacity_natural_gas,GW,electricity,world,2048.51,2086.980909,2125.451818,2163.922727,2202.393636,2240.864545,2279.335455,2317.806364,2356.277273,2394.748182,2433.219091,2471.69,2480.286,2488.882,2497.478,2506.074,2514.67,2533.372,2552.074,2570.776,2589.478,2608.18,2626.882,2645.584,2664.286,2682.988,2701.69
capacity_nuclear,GW,electricity,world,420.01,433.970909,447.931818,461.892727,475.853636,489.814545,503.775455,517.736364,531.697273,545.658182,559.619091,573.58,591.544,609.508,627.472,645.436,663.4,675.509,687.618,699.727,711.836,723.945,736.054,748.163,760.272,772.381,784.49
capacity_solar_pv,GW,electricity,world,2163.51,2771.790909,3380.071818,3988.352727,4596.633636,5204.914545,5813.195455,6421.476364,7029.757273,7638.038182,8246.319091,8854.6,9467.996,10081.392,10694.788,11308.184,11921.58,12350.353,12779.126,13207.899,13636.672,14065.445,14494.218,14922.991,15351.764,15780.537,16209.31
capacity_total,GW,electricity,world,10248.7,11239.220909,12229.741818,13220.262727,14210.783636,15201.304545,16191.825455,17182.346364,18172.867273,19163.388182,20153.909091,21144.43,22033.806,22923.182,23812.558,24701.934,25591.31,26205.939,26820.568,27435.197,28049.826,28664.455,29279.084,29893.713,30508.342,31122.971,31737.6
capacity_wind_onshore,GW,electricity,world,1130.63,1278.99,1427.35,1575.71,1724.07,1872.43,2020.79,2169.15,2317.51,2465.87,2614.23,2762.59,2868.1,2973.61,3079.12,3184.63,3290.14,3359.606,3429.072,3498.538,3568.004,3637.47,3706.936,3776.402,3845.868,3915.334,3984.8
ccus_capture_dac,Mt CO2/yr,ccus,world,0.01,0.058182,0.106364,0.154545,0.202727,0.250909,0.299091,0.347273,0.395455,0.443636,0.491818,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
ccus_capture_total,Mt CO2/yr,ccus,world,43.43,53.844545,64.259091,74.673636,85.088182,95.502727,105.917273,116.331818,126.746364,137.160909,147.575455,157.99,169.872,181.754,193.636,205.518,217.4,226.184,234.968,243.752,252.536,261.32,270.104,278.888,287.672,296.456,305.24
ccus_stored_geological,Mt CO2/yr,ccus,world,0.98,1.494545,2.009091,2.523636,3.038182,3.552727,4.067273,4.581818,5.096364,5.610909,6.125455,6.64,6.89,7.14,7.39,7.64,7.89,8.094,8.298,8.502,8.706,8.91,9.114,9.318,9.522,9.726,9.93
