variable,unit,category,description,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
solar_pv_utility_capex,$/kW (real 2024 USD),technology_costs,Utility-scale solar PV overnight capital cost (tracking),1630.070571,1547.870302,1465.670033,1383.469763,1301.269494,1219.069225,1136.868955,1054.668686,972.468417,890.268147,808.067878,725.867609,717.340994,708.814379,700.287765,691.76115,683.234535,674.707921,666.181306,657.654691,649.128076,640.601462,632.074847,623.548232,615.021618,606.495003,597.968388
solar_pv_utility_fom,$/kW-yr (real 2024 USD),technology_costs,Utility-scale solar PV fixed O&M,22.755022,21.898509,21.047045,20.200318,19.358043,18.519956,17.685814,16.855393,16.028485,15.204898,14.384452,13.566982,13.467482,13.368216,13.269182,13.170376,13.071795,12.973434,12.875292,12.777365,12.679648,12.582141,12.484839,12.387739,12.290839,12.194135,12.097625
solar_pv_utility_lcoe,$/MWh (real 2024 USD),technology_costs,Utility-scale solar PV levelized cost of energy,48.737741,45.914811,43.152784,40.449647,37.803484,35.212461,32.674827,30.188909,27.753103,25.365877,23.025761,20.731345,20.455961,20.182127,19.90983,19.639055,19.369789,19.102019,18.835733,18.570917,18.307558,18.045645,17.785165,17.526106,17.268455,17.012201,16.757332
solar_pv_utility_cf,fraction (0-1),technology_costs,Utility-scale solar PV net capacity factor,0.269542,0.272409,0.275277,0.278144,0.281012,0.283879,0.286746,0.289614,0.292481,0.295348,0.298216,0.301083,0.301886,0.302689,0.303492,0.304295,0.305098,0.305901,0.306704,0.307507,0.30831,0.309113,0.309916,0.310719,0.311522,0.312325,0.313128
solar_pv_commercial_capex,$/kW (real 2024 USD),technology_costs,Commercial rooftop solar PV capital cost,1880.20083,1799.062838,1717.924846,1636.786853,1555.648861,1474.510868,1393.372876,1312.234884,1231.096891,1149.958899,1068.820907,987.682914,976.676966,965.671017,954.665069,943.65912,932.653172,921.647223,910.641274,899.635326,888.629377,877.623429,866.61748,855.611532,844.605583,833.599635,822.593686
solar_pv_residential_capex,$/kW (real 2024 USD),technology_costs,Residential rooftop solar PV capital cost,2720.388624,2589.816153,2459.243682,2328.671211,2198.09874,2067.52627,1936.953799,1806.381328,1675.808857,1545.236386,1414.663915,1284.091444,1265.257502,1246.423559,1227.589617,1208.755674,1189.921732,1171.087789,1152.253847,1133.419905,1114.585962,1095.75202,1076.918077,1058.084135,1039.250192,1020.41625,1001.582307
csp_capex,$/kW (real 2024 USD),technology_costs,Concentrating solar power (tower + TES) capital cost,7414.229259,6916.40217,6418.575081,5920.747992,5422.920903,4925.093814,4427.266725,4373.337531,4319.408337,4265.479143,4211.549949,4157.620755,4103.691561,4049.762367,3995.833173,3941.903979,3887.974785,3834.045591,3780.116397,3726.187203,3672.258009,3618.328815,3564.399621,3510.470427,3456.541233,3402.61204,3348.682846
wind_onshore_capex,$/kW (real 2024 USD),technology_costs,Land-based wind overnight capital cost,1763.069572,1641.415272,1598.351628,1555.287985,1512.224341,1469.160697,1426.097053,1408.479481,1390.86191,1373.244339,1355.626767,1338.009196,1320.391625,1302.774053,1285.156482,1267.538911,1249.921339,1232.303768,1214.686197,1197.068625,1179.451054,1161.833483,1144.215911,1126.59834,1108.980769,1091.363197,1073.745626
wind_onshore_fom,$/kW-yr (real 2024 USD),technology_costs,Land-based wind fixed O&M,32.855967,32.041688,31.227408,30.413129,29.59885,28.78457,27.970291,27.443065,26.915839,26.388612,25.861386,25.33416,24.806934,24.279708,23.752481,23.225255,22.698029,22.170803,21.643577,21.11635,20.589124,20.061898,19.534672,19.007445,18.480219,17.952993,17.425767
wind_onshore_lcoe,$/MWh (real 2024 USD),technology_costs,Land-based wind levelized cost of energy,33.303961,30.897163,29.650649,28.437848,27.257611,26.108837,24.990472,24.624383,24.258786,23.893679,23.529061,23.164932,22.801289,22.438134,22.075463,21.713277,21.351575,20.990355,20.629616,20.269359,19.90958,19.550281,19.191459,18.833113,18.475244,18.117849,17.760928
